Data Set 1:Time(s),Data Set 1:Pressure(kPa),Data Set 1:Angle(rad),Data Set 1:Velocity(rad/s),Data Set 1:Acceleration(rad/s²),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C),Data Set 2:Time(s),Data Set 2:Pressure(kPa),Data Set 2:Angle(rad),Data Set 2:Velocity(rad/s),Data Set 2:Acceleration(rad/s²),Data Set 2:Temperature 1(°C),Data Set 2:Temperature 2(°C),Data Set 3:Time(s),Data Set 3:Pressure(kPa),Data Set 3:Angle(rad),Data Set 3:Velocity(rad/s),Data Set 3:Acceleration(rad/s²),Data Set 3:Temperature 1(°C),Data Set 3:Temperature 2(°C),Data Set 4:Time(s),Data Set 4:Pressure(kPa),Data Set 4:Angle(rad),Data Set 4:Velocity(rad/s),Data Set 4:Acceleration(rad/s²),Data Set 4:Temperature 1(°C),Data Set 4:Temperature 2(°C),Data Set 5:Time(s),Data Set 5:Pressure(kPa),Data Set 5:Angle(rad),Data Set 5:Velocity(rad/s),Data Set 5:Acceleration(rad/s²),Data Set 5:Temperature 1(°C),Data Set 5:Temperature 2(°C),Data Set 6:Time(s),Data Set 6:Pressure(kPa),Data Set 6:Angle(rad),Data Set 6:Velocity(rad/s),Data Set 6:Acceleration(rad/s²),Data Set 6:Temperature 1(°C),Data Set 6:Temperature 2(°C),Data Set 7:Time(s),Data Set 7:Pressure(kPa),Data Set 7:Angle(rad),Data Set 7:Velocity(rad/s),Data Set 7:Acceleration(rad/s²),Data Set 7:Temperature 1(°C),Data Set 7:Temperature 2(°C),Data Set 8:Time(s),Data Set 8:Pressure(kPa),Data Set 8:Angle(rad),Data Set 8:Velocity(rad/s),Data Set 8:Acceleration(rad/s²),Data Set 8:Temperature 1(°C),Data Set 8:Temperature 2(°C),Data Set 9:Time(s),Data Set 9:Pressure(kPa),Data Set 9:Angle(rad),Data Set 9:Velocity(rad/s),Data Set 9:Acceleration(rad/s²),Data Set 9:Temperature 1(°C),Data Set 9:Temperature 2(°C),Data Set 10:Time(s),Data Set 10:Pressure(kPa),Data Set 10:Angle(rad),Data Set 10:Velocity(rad/s),Data Set 10:Acceleration(rad/s²),Data Set 10:Temperature 1(°C),Data Set 10:Temperature 2(°C)
0.000000000000,103.711616516113,0.366519153118,0.387850941883,-290.053257902647,118.075363159180,43.143314361572,0.000000000000,89.319503784180,0.366519153118,2.230143298705,206.382491085448,109.283775329590,40.452281951904,0.000000000000,84.238067626953,0.209439516068,18.762290974458,-313.411884366270,121.252265930176,40.677627563477,0.000000000000,117.756553649902,-0.104719758034,-20.410657094585,336.265449067233,138.646453857422,42.822917938232,0.000000000000,121.038970947266,-1.291543722153,-17.162404788865,168.923939589733,103.839515686035,40.989788055420,0.000000000000,105.479072570801,-2.007128715515,-9.211454788844,370.801510496272,115.926338195801,42.056434631348,0.000000000000,104.658470153809,-2.391101121902,-9.793237845103,342.999028478876,138.437774658203,44.872383117676,0.000000000000,108.919288635254,-1.535889863968,-10.811346107059,150.979131368207,126.226333618164,45.032341003418,0.000000000000,119.271514892578,-1.117010712624,-17.647219697634,152.716332701621,142.881942749023,44.504047393799,0.000000000000,116.588775634766,-2.007128715515,-18.519882361094,532.015700951035,138.996887207031,45.278221130371
0.020000000000,118.829658508301,0.471238911152,-5.623838843571,-242.231773028587,118.059425354004,43.143314361572,0.020000000000,84.743064880371,0.349065870047,6.351059551040,180.761435281853,109.283775329590,40.449199676514,0.020000000000,90.960700988770,0.610865294933,14.362605785330,-410.021099397039,121.260971069336,40.679168701172,0.020000000000,109.897705078125,-0.541052103043,-15.623121418887,430.598741440378,138.646453857422,42.822917938232,0.020000000000,109.929267883301,-1.640609622002,-15.162546849913,264.075319685134,103.844909667969,40.989788055420,0.020000000000,89.950736999512,-2.286381244659,-2.278622239828,365.609980015843,115.926338195801,42.057991027832,0.020000000000,90.960700988770,-2.670353889465,-3.551259140174,356.597329639358,138.465530395508,44.873962402344,0.020000000000,97.683341979980,-1.780236005783,-8.387276199129,189.956117099450,126.226333618164,45.033920288086,0.020000000000,114.505706787109,-1.448623299599,-16.532148172458,281.545485059420,142.881942749023,44.504047393799,0.020000000000,95.947448730469,-2.513274192810,-8.532720307509,515.232398807083,138.996887207031,45.278221130371
0.040000000000,116.651901245117,0.261799395084,-11.955505671601,-113.850412321173,118.043518066406,43.144878387451,0.040000000000,85.437416076660,0.523598790169,11.126474464933,95.144683598644,109.296272277832,40.446113586426,0.040000000000,112.138580322266,1.029744267464,3.999713237087,-468.986555658005,121.269660949707,40.677627563477,0.040000000000,90.108535766602,-0.994837701321,-4.610578243931,474.218501123013,138.618576049805,42.821357727051,0.040000000000,94.306243896484,-2.024581909180,-9.177522857984,379.295971175587,103.850288391113,40.988243103027,0.040000000000,83.606834411621,-2.286381244659,6.923138002555,280.787829102741,115.933837890625,42.061096191406,0.040000000000,84.048706054688,-2.705260276794,5.134177207947,311.361478296695,138.493316650391,44.872383117676,0.040000000000,89.414184570312,-1.954768896103,-4.086977243423,235.316463228729,126.216377258301,45.032341003418,0.040000000000,94.842788696289,-1.937315583229,-9.817476868629,427.040090370509,142.866317749023,44.504047393799,0.040000000000,83.764648437500,-2.635447263718,4.799657066663,379.770733002159,138.968750000000,45.279804229736
0.060000000000,101.944160461426,-0.122173056006,-12.896043993533,123.452420438421,118.027603149414,43.143314361572,0.060000000000,93.043769836426,0.855211377144,12.750600319770,-96.794410689194,109.296272277832,40.443031311035,0.060000000000,120.092117309570,0.890118002892,-10.181087483135,-277.673688958640,121.269660949707,40.677627563477,0.060000000000,83.354347229004,-0.855211377144,10.156846936378,236.929130366785,138.604644775391,42.821357727051,0.060000000000,85.121795654297,-2.129301786423,1.696846220228,400.674932371871,103.850288391113,40.988243103027,0.060000000000,87.488922119141,-1.972222089767,13.477817674478,11.029495938141,115.933837890625,42.061096191406,0.060000000000,85.721466064453,-2.460914373398,12.726358903779,101.450620288098,138.507202148438,44.872383117676,0.060000000000,85.216484069824,-1.972222089767,1.551405423217,250.971862287433,126.206413269043,45.032341003418,0.060000000000,84.774620056152,-2.024581909180,3.805787861347,410.037920683806,142.866317749023,44.504047393799,0.060000000000,87.015502929688,-2.234021425247,13.162693215741,-3.232109233921,138.954666137695,45.279804229736
0.080000000000,89.477302551270,-0.401425719261,-6.399540603161,329.457830657815,118.011703491211,43.144878387451,0.080000000000,108.351181030273,1.169370651245,7.563093180458,-300.113150056590,109.308792114258,40.441490173340,0.080000000000,101.912605285645,0.366519153118,-12.290027758314,141.993176077067,121.278350830078,40.677627563477,0.080000000000,96.452438354492,-0.261799395084,9.962921610309,-204.662078612105,138.576766967773,42.821357727051,0.080000000000,84.427444458008,-1.937315583229,11.393121050464,194.608955356626,103.855690002441,40.988243103027,0.080000000000,104.153488159180,-1.518436551094,8.969052301513,-318.556238632695,115.933837890625,42.061096191406,0.080000000000,98.251449584961,-2.024581909180,11.756732066472,-222.775274542747,138.521118164062,44.872383117676,0.080000000000,84.206504821777,-1.884955644608,7.054039504793,202.773295020984,126.196456909180,45.032341003418,0.080000000000,86.163337707520,-1.710422754288,13.308135999574,80.297271939523,142.850708007812,44.504047393799,0.080000000000,110.434249877930,-1.727875947952,4.387564294868,-346.675481831218,138.940597534180,45.279804229736
0.100000000000,84.143386840820,-0.436332315207,3.587621036503,354.055393211268,117.987854003906,43.144878387451,0.100000000000,120.028991699219,1.239183783531,-2.011977011959,-355.328034770526,109.321304321289,40.439926147461,0.100000000000,87.362678527832,0.122173056006,-0.921146074931,376.471312314180,121.287048339844,40.677627563477,0.100000000000,120.218368530273,-0.122173056006,-5.163265847498,-306.604255508218,138.548919677734,42.819797515869,0.100000000000,95.221534729004,-1.518436551094,12.580915292104,-157.779881983628,103.861068725586,40.988243103027,0.100000000000,120.597106933594,-1.431169986725,-4.363324410386,-384.874710284266,115.933837890625,42.062652587891,0.100000000000,116.778144836426,-1.797689199448,1.066589024332,-397.271169234573,138.535003662109,44.872383117676,0.100000000000,87.394241333008,-1.675516128540,11.174955632952,70.318165752623,126.186523437500,45.032341003418,0.100000000000,103.806304931641,-1.204277157784,8.653925028112,-309.742083244118,142.850708007812,44.504047393799,0.100000000000,118.387786865234,-1.919862151146,-10.641660624080,-220.960580548386,138.926544189453,45.279804229736
0.120000000000,85.121795654297,-0.226892814040,11.635528401368,165.577343231021,117.971977233887,43.144878387451,0.120000000000,117.882804870605,1.064650893211,-10.302291148239,-214.361720430998,109.333824157715,40.436843872070,0.120000000000,84.837745666504,0.314159274101,11.296159463624,193.353131108768,121.295753479004,40.677627563477,0.120000000000,106.930908203125,-0.645771861076,-12.362748632828,45.484951898502,138.535003662109,42.819797515869,0.120000000000,114.726638793945,-1.221730589867,2.957364916801,-390.443330009778,103.861068725586,40.986698150635,0.120000000000,112.485755920410,-1.780236005783,-13.429339892334,-102.046505996474,115.941345214844,42.064208984375,0.120000000000,119.050582885742,-1.972222089767,-10.205329457919,-260.957694256011,138.562850952148,44.872383117676,0.120000000000,96.862731933594,-1.361356854439,10.932548509704,-115.109597919164,126.176567077637,45.030761718750,0.120000000000,121.543952941895,-1.151917338371,-6.108652220832,-353.543666409857,142.835098266602,44.504047393799,0.120000000000,97.083671569824,-2.478367567062,-10.811345113648,196.315882796491,138.898437500000,45.281410217285
0.140000000000,95.442459106445,0.157079637051,12.459711740828,-139.080925419191,117.956092834473,43.144878387451,0.140000000000,104.942520141602,0.715584993362,-12.580915664633,38.583095725856,109.352622985840,40.433757781982,0.140000000000,97.841148376465,0.820304811001,11.368881207373,-209.782933183934,121.304466247559,40.677627563477,0.140000000000,87.930786132812,-1.012290954590,-1.842291798029,330.312985145015,138.521118164062,42.818237304688,0.140000000000,120.028991699219,-1.343903541565,-9.405383964380,-295.972030057951,103.866462707520,40.986698150635,0.140000000000,94.748107910156,-2.216568231583,-10.011401606931,264.358161086286,115.941345214844,42.064208984375,0.140000000000,103.301315307617,-2.373647928238,-12.993007898331,69.052323147103,138.576766967773,44.872383117676,0.140000000000,109.676773071289,-1.151917338371,5.938967068990,-263.718451246803,126.166610717773,45.030761718750,0.140000000000,109.266471862793,-1.605702877045,-13.477820820279,-8.147581261985,142.819503784180,44.504047393799,0.140000000000,84.111831665039,-2.652900457382,2.933123873340,349.671854925008,138.884399414062,45.281410217285
0.160000000000,112.832939147949,0.436332315207,4.581489196668,-358.257110684788,117.940216064453,43.143314361572,0.160000000000,92.507225036621,0.436332315207,-7.926703658369,253.449829674705,109.371414184570,40.430675506592,0.160000000000,119.587135314941,1.047197580338,-1.866532965667,-380.343081009931,121.313156127930,40.677627563477,0.160000000000,84.143386840820,-0.785398185253,11.562806181610,136.219179545196,138.507202148438,42.818237304688,0.160000000000,104.879402160645,-1.762782573700,-13.550542129411,41.714163014182,103.866462707520,40.986698150635,0.160000000000,85.121795654297,-2.338741302490,1.866534186734,390.308669043912,115.941345214844,42.065761566162,0.160000000000,90.171661376953,-2.670353889465,-6.084410515096,333.848123289185,138.618576049805,44.872383117676,0.160000000000,119.555572509766,-1.082104206085,-1.527163883050,-304.355244899606,126.146736145020,45.030761718750,0.160000000000,91.150077819824,-1.989675402641,-6.229856775867,332.299382368356,142.819503784180,44.504047393799,0.160000000000,86.226463317871,-2.286381244659,13.186931775676,41.545797599319,138.870361328125,45.281410217285
0.180000000000,120.691787719727,0.401425719261,-6.472262605611,-332.366711414063,117.924362182617,43.143314361572,0.180000000000,85.753028869629,0.349065870047,0.000000000000,331.424024806898,109.396492004395,40.426052093506,0.180000000000,114.253211975098,0.698131740093,-12.847563003500,-116.759296506643,121.330574035645,40.677627563477,0.180000000000,101.281364440918,-0.174532935023,8.217592144178,-262.944080412710,138.493316650391,42.818237304688,0.180000000000,90.929145812988,-2.094395160675,-6.714668538835,333.242053051054,103.871856689453,40.985149383545,0.180000000000,84.648376464844,-2.111848354340,12.144582470258,175.172577347652,115.948852539062,42.067317962646,0.180000000000,83.796211242676,-2.687807083130,4.896619088120,352.028597284246,138.632507324219,44.872383117676,0.180000000000,119.618698120117,-1.221730589867,-8.459997839398,-217.661148879999,126.136795043945,45.030761718750,0.180000000000,83.606834411621,-1.972222089767,7.054039008088,315.970601399004,142.803894042969,44.504047393799,0.180000000000,108.698356628418,-1.745329260826,5.938965910011,-327.350261540693,138.842285156250,45.281410217285
