Data Set 1:Time(s),Data Set 1:Pressure(kPa),Data Set 1:Angle(rad),Data Set 1:Velocity(rad/s),Data Set 1:Acceleration(rad/s²),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C),Data Set 2:Time(s),Data Set 2:Pressure(kPa),Data Set 2:Angle(rad),Data Set 2:Velocity(rad/s),Data Set 2:Acceleration(rad/s²),Data Set 2:Temperature 1(°C),Data Set 2:Temperature 2(°C),Data Set 3:Time(s),Data Set 3:Pressure(kPa),Data Set 3:Angle(rad),Data Set 3:Velocity(rad/s),Data Set 3:Acceleration(rad/s²),Data Set 3:Temperature 1(°C),Data Set 3:Temperature 2(°C),Data Set 4:Time(s),Data Set 4:Pressure(kPa),Data Set 4:Angle(rad),Data Set 4:Velocity(rad/s),Data Set 4:Acceleration(rad/s²),Data Set 4:Temperature 1(°C),Data Set 4:Temperature 2(°C)
0.000000000000,103.711616516113,0.366519153118,0.387850941883,-290.053257902647,118.075363159180,43.143314361572,0.000000000000,89.319503784180,0.366519153118,2.230143298705,206.382491085448,109.283775329590,40.452281951904,0.000000000000,84.238067626953,0.209439516068,18.762290974458,-313.411884366270,121.252265930176,40.677627563477,0.000000000000,117.756553649902,-0.104719758034,-20.410657094585,336.265449067233,138.646453857422,42.822917938232
0.020000000000,118.829658508301,0.471238911152,-5.623838843571,-242.231773028587,118.059425354004,43.143314361572,0.020000000000,84.743064880371,0.349065870047,6.351059551040,180.761435281853,109.283775329590,40.449199676514,0.020000000000,90.960700988770,0.610865294933,14.362605785330,-410.021099397039,121.260971069336,40.679168701172,0.020000000000,109.897705078125,-0.541052103043,-15.623121418887,430.598741440378,138.646453857422,42.822917938232
0.040000000000,116.651901245117,0.261799395084,-11.955505671601,-113.850412321173,118.043518066406,43.144878387451,0.040000000000,85.437416076660,0.523598790169,11.126474464933,95.144683598644,109.296272277832,40.446113586426,0.040000000000,112.138580322266,1.029744267464,3.999713237087,-468.986555658005,121.269660949707,40.677627563477,0.040000000000,90.108535766602,-0.994837701321,-4.610578243931,474.218501123013,138.618576049805,42.821357727051
0.060000000000,101.944160461426,-0.122173056006,-12.896043993533,123.452420438421,118.027603149414,43.143314361572,0.060000000000,93.043769836426,0.855211377144,12.750600319770,-96.794410689194,109.296272277832,40.443031311035,0.060000000000,120.092117309570,0.890118002892,-10.181087483135,-277.673688958640,121.269660949707,40.677627563477,0.060000000000,83.354347229004,-0.855211377144,10.156846936378,236.929130366785,138.604644775391,42.821357727051
0.080000000000,89.477302551270,-0.401425719261,-6.399540603161,329.457830657815,118.011703491211,43.144878387451,0.080000000000,108.351181030273,1.169370651245,7.563093180458,-300.113150056590,109.308792114258,40.441490173340,0.080000000000,101.912605285645,0.366519153118,-12.290027758314,141.993176077067,121.278350830078,40.677627563477,0.080000000000,96.452438354492,-0.261799395084,9.962921610309,-204.662078612105,138.576766967773,42.821357727051
0.100000000000,84.143386840820,-0.436332315207,3.587621036503,354.055393211268,117.987854003906,43.144878387451,0.100000000000,120.028991699219,1.239183783531,-2.011977011959,-355.328034770526,109.321304321289,40.439926147461,0.100000000000,87.362678527832,0.122173056006,-0.921146074931,376.471312314180,121.287048339844,40.677627563477,0.100000000000,120.218368530273,-0.122173056006,-5.163265847498,-306.604255508218,138.548919677734,42.819797515869
0.120000000000,85.121795654297,-0.226892814040,11.635528401368,165.577343231021,117.971977233887,43.144878387451,0.120000000000,117.882804870605,1.064650893211,-10.302291148239,-214.361720430998,109.333824157715,40.436843872070,0.120000000000,84.837745666504,0.314159274101,11.296159463624,193.353131108768,121.295753479004,40.677627563477,0.120000000000,106.930908203125,-0.645771861076,-12.362748632828,45.484951898502,138.535003662109,42.819797515869
0.140000000000,95.442459106445,0.157079637051,12.459711740828,-139.080925419191,117.956092834473,43.144878387451,0.140000000000,104.942520141602,0.715584993362,-12.580915664633,38.583095725856,109.352622985840,40.433757781982,0.140000000000,97.841148376465,0.820304811001,11.368881207373,-209.782933183934,121.304466247559,40.677627563477,0.140000000000,87.930786132812,-1.012290954590,-1.842291798029,330.312985145015,138.521118164062,42.818237304688
0.160000000000,112.832939147949,0.436332315207,4.581489196668,-358.257110684788,117.940216064453,43.143314361572,0.160000000000,92.507225036621,0.436332315207,-7.926703658369,253.449829674705,109.371414184570,40.430675506592,0.160000000000,119.587135314941,1.047197580338,-1.866532965667,-380.343081009931,121.313156127930,40.677627563477,0.160000000000,84.143386840820,-0.785398185253,11.562806181610,136.219179545196,138.507202148438,42.818237304688
0.180000000000,120.691787719727,0.401425719261,-6.472262605611,-332.366711414063,117.924362182617,43.143314361572,0.180000000000,85.753028869629,0.349065870047,0.000000000000,331.424024806898,109.396492004395,40.426052093506,0.180000000000,114.253211975098,0.698131740093,-12.847563003500,-116.759296506643,121.330574035645,40.677627563477,0.180000000000,101.281364440918,-0.174532935023,8.217592144178,-262.944080412710,138.493316650391,42.818237304688
0.200000000000,110.023956298828,0.087266467512,-12.871803136335,-83.327353457679,117.908500671387,43.143314361572,0.200000000000,84.427444458008,0.436332315207,7.926703658369,252.574470618533,109.421585083008,40.421428680420,0.200000000000,94.464050292969,0.226892814040,-9.090257001420,272.808715177953,121.347999572754,40.677627563477,0.200000000000,120.881164550781,-0.174532935023,-7.684296390249,-272.842368461698,138.479415893555,42.816677093506
