,Data Set 4:Pressure(kPa),Data Set 4:Angle(rad)
0,117.756553649902,4.355555550636418e-05
1,109.897705078125,3.799999947824553e-05
2,90.108535766602,3.222222172506344e-05
3,83.354347229004,3.3999999320143126e-05
4,96.452438354492,4.155555542731935e-05
5,120.218368530273,4.3333333212124464e-05
6,106.930908203125,3.666666609221988e-05
7,87.930786132812,3.2e-05
8,84.14338684082,3.488888849714019e-05
9,101.281364440918,4.2666666519105276e-05
10,120.881164550781,4.2666666519105276e-05
11,102.606964111328,3.5333333465095945e-05
12,85.942398071289,3.2e-05
13,85.184921264648,3.622222188317857e-05
14,106.520599365234,4.3333333212124464e-05
15,120.218368530273,4.177777753183364e-05
16,98.78800201416,3.4222221804121e-05
17,84.963989257812,3.222222172506344e-05
18,87.141738891602,3.7333332785239066e-05
19,109.676773071289,4.377777770574755e-05
20,117.535621643066,4.066666662977313e-05
21,96.294624328613,3.333333262712394e-05
22,83.7646484375,3.24444434501396e-05
23,89.792922973633,3.8666666171264716e-05
24,114.190086364746,4.4e-05
25,114.284774780273,3.955555534826178e-05
26,93.106895446777,3.2666666693019186e-05
27,83.259666442871,3.31111109020605e-05
28,92.191612243652,3.999999955730309e-05
29,117.788116455078,4.377777770574755e-05
30,111.444229125977,3.82222219622234e-05
31,90.171661376953,3.222222172506344e-05
32,83.133415222168,3.377777759507969e-05
33,96.357749938965,4.133333332279232e-05
34,119.587135314941,4.355555550636418e-05
35,107.27808380127,3.711111030126119e-05
36,88.625137329102,3.2e-05
37,83.827774047852,3.466666677207676e-05
38,100.965751647949,4.244444422485283e-05
39,120.912719726562,4.288888881334499e-05
40,103.080383300781,3.577777767413726e-05
41,86.605194091797,3.2e-05
42,84.995552062988,3.577777767413726e-05
43,104.31128692627,4.3111111107597435e-05
44,120.344612121582,4.199999982608609e-05
45,100.429206848145,3.466666677207676e-05
46,85.121795654297,3.2e-05
47,86.131774902344,3.688888857618502e-05
48,109.045539855957,4.377777770574755e-05
49,118.829658508301,4.1111110838814445e-05
50,96.768051147461,3.355555435218737e-05
51,83.985580444336,3.24444434501396e-05
52,88.435775756836,3.82222219622234e-05
53,113.495735168457,4.4e-05
54,115.989105224609,3.999999955730309e-05
55,93.422515869141,3.2888888418082625e-05
56,83.480590820312,3.2888888418082625e-05
57,91.528816223145,3.955555534826178e-05
58,116.083786010742,4.377777770574755e-05
59,112.296394348145,3.8666666171264716e-05
60,91.655059814453,3.24444434501396e-05
61,83.228103637695,3.355555435218737e-05
62,93.959060668945,4.066666662977313e-05
63,119.050582885742,4.355555550636418e-05
64,109.550521850586,3.7555555269204215e-05
65,89.224815368652,3.2e-05
66,83.606834411621,3.4222221804121e-05
67,98.21989440918,4.199999982608609e-05
68,120.786476135254,4.3111111107597435e-05
69,105.479072570801,3.6444444367143714e-05
70,87.078628540039,3.2e-05
71,84.206504821777,3.5333333465095945e-05
72,102.954139709473,4.288888881334499e-05
73,120.944282531738,4.244444422485283e-05
74,101.53385925293,3.511111022220363e-05
75,85.81615447998,3.2e-05
76,85.532104492188,3.6444444367143714e-05
77,106.20499420166,4.355555550636418e-05
78,119.618698120117,4.155555542731935e-05
79,97.778022766113,3.3999999320143126e-05
80,84.553688049316,3.222222172506344e-05
81,87.772979736328,3.7555555269204215e-05
82,110.844551086426,4.377777770574755e-05
83,116.967514038086,4.044444414579526e-05
84,95.537147521973,3.31111109020605e-05
85,83.796211242676,3.2666666693019186e-05
86,89.540428161621,3.888888865524259e-05
87,114.979133605957,4.4e-05
88,114.789756774902,3.9333333243734756e-05
89,92.601913452148,3.2666666693019186e-05
90,83.417465209961,3.31111109020605e-05
91,92.728157043457,4.022222204128097e-05
92,117.220008850098,4.377777770574755e-05
93,111.00235748291,3.82222219622234e-05
94,90.013862609863,3.222222172506344e-05
95,83.322784423828,3.377777759507969e-05
96,96.831169128418,4.133333332279232e-05
97,119.808059692383,4.355555550636418e-05
98,106.867782592773,3.711111030126119e-05
99,88.372650146484,3.2e-05
100,83.890892028809,3.466666677207676e-05
101,99.766403198242,4.244444422485283e-05
102,120.912719726562,4.288888881334499e-05
103,104.121925354004,3.577777767413726e-05
104,86.542068481445,3.2e-05
105,84.553688049316,3.577777767413726e-05
106,104.532218933105,4.3111111107597435e-05
107,120.155242919922,4.199999982608609e-05
108,100.208274841309,3.466666677207676e-05
109,85.43741607666,3.2e-05
110,86.131774902344,3.688888857618502e-05
111,109.108665466309,4.355555550636418e-05
112,118.766532897949,4.1111110838814445e-05
113,96.768051147461,3.377777759507969e-05
114,84.238067626953,3.222222172506344e-05
115,88.467338562012,3.799999947824553e-05
116,112.075462341309,4.4e-05
117,116.083786010742,3.999999955730309e-05
118,94.590293884277,3.2888888418082625e-05
119,83.480590820312,3.2888888418082625e-05
120,90.329475402832,3.9333333243734756e-05
121,116.020660400391,4.4e-05
122,112.48575592041,3.888888865524259e-05
123,91.907554626465,3.24444434501396e-05
124,83.449028015137,3.333333262712394e-05
125,93.801254272461,4.066666662977313e-05
126,118.955902099609,4.377777770574755e-05
127,109.739891052246,3.777777775318209e-05
128,89.351058959961,3.222222172506344e-05
129,83.449028015137,3.4222221804121e-05
130,98.125205993652,4.177777753183364e-05
131,120.249931335449,4.3333333212124464e-05
132,105.573760986328,3.6444444367143714e-05
133,87.83610534668,3.2e-05
134,84.206504821777,3.511111022220363e-05
135,102.82788848877,4.2666666519105276e-05
136,120.944282531738,4.2666666519105276e-05
137,101.628547668457,3.5333333465095945e-05
138,85.910842895508,3.2e-05
139,85.405853271484,3.622222188317857e-05
